CategoryName,GeneralCategory
konser,Music
caz festivali,Music
canlı müzik,Music
DJ performansı,Music
startup zirvesi,Technology
yapay zeka konferansı,Technology
mobil uygulama hackathonu,Technology
girişimcilik semineri,Technology
yemek tadımı,Food & Drink
gastronomi atölyesi,Food & Drink
şarap tadım etkinliği,Food & Drink
barista eğitimi,Food & Drink
resim sergisi,Art & Culture
tiyatro gösterisi,Art & Culture
sanat galerisi gezisi,Art & Culture
film festivali,Art & Culture
futbol maçı,Sports
koşu maratonu,Sports
basketbol turnuvası,Sports
yüzme yarışması,Sports
yurt dışı gezisi,Travel
kültür turu,Travel
kamp etkinliği,Travel
doğa yürüyüşü,Travel
üniversite semineri,Education
sertifika programı,Education
akademik konferans,Education
öğrenci kulübü etkinliği,Education
yoga dersi,Health & Wellness
nefes terapisi,Health & Wellness
sağlıklı yaşam semineri,Health & Wellness
meditasyon atölyesi,Health & Wellness
çeşitli etkinlik,Other
bilinmeyen konsept,Other
genel kültür gecesi,Other
karma kategori,Other
AlternatifMuzik,Music
AscilikVeMutfak,FoodAndDrink
BilimTeknoloji,Technology
Bilisim,Technology
CazMuzik,Music
CocukGelisimi,HealthAndWellness
CocukTiyatrosu,ArtAndCulture
DansVeMuzikalGosteriler,Music
Diger,Other
DilVeEdebiyat,Education
DunyaMuzik,Music
EgitimOgretim,Education
EnerjiVeCevre,Other
FinansEkonomi,Other
Fotografcilik,Other
GayrimenkulInsaat,Other
Gida,FoodAndDrink
Girisimcilik,Other
Hayvancilik,Other
HobiYasamTarzi,Other
Hukuk,Other
InsanKaynaklari,Other
IsDunyasi,Other
Kariyer,Other
KisiselGelisim,Other
KlasikMuzik,Music
KulturDin,ArtAndCulture
MedyaVeIletisim,Other
OzgunMuzik,Music
PartiCanliMuzik,Music
Pazarlama,Other
PopMuzik,Music
RockMuzik,Music
SaglikTip,HealthAndWellness
Sanat,ArtAndCulture
Seyahat,Travel
SinemaFilm,ArtAndCulture
SiyasetPolitika,Other
SosyalBilimler,Technology
SoulMuzik,Music
Spor,Sports
Tarih,Other
Tarim,Other
TedarikZinciriVeLojistik,Other
TekstilModa,ArtAndCulture
TiyatroVeGosteriler,ArtAndCulture
Turizm,Travel
TurkSanatHalkMuzigi,ArtAndCulture
UretimVeMuhendislik,Other
YabanciDil,Education
YonetimVeLiderlik,Other
ElektronikMuzik,Music
ReggaeMuzik,Music
HipHopRap,Music
MetalMuzik,Music
FunkVeDisco,Music
EnstrumantalMuzik,Music
FilmMuzikleri,Music
ChilloutAmbientMuzik,Music
Matematik,Education
Fizik,Education
Kimya,Education
Biyoloji,Education
Astronomi,Education
YapayZeka,Education
VeriBilimi,Education
Robotik,Education
WebGelistirme,Technology
MobilUygulama,Technology
SiberGuvenlik,Technology
